Token;POS;n
singend;ADJD;3
Sliwowitz;NN;3
Sniper;NN;3
Sohlen;NN;3
Söhne;NN;3
Sohnes;NN;3
Sokolac;NE;3
Soll;VMFIN;3
Sonnenblumen;NN;3
Sonst;ADV;3
Spatzen;NN;3
Spielen;NN;3
Spielregel;NN;3
Spinnweben;NN;3
spitzen;ADJA;3
Spitznamen;NN;3
Split;NE;3
sprichst;VVFIN;3
Spur;NN;3
Stängel;NN;3
Stankovskis;NE;3
starrt;VVFIN;3
Statue;NN;3
Stehen;NN;3
steil;ADJD;3
Steinchen;NN;3
Stellung;NN;3
sterbe;VVFIN;3
sterben;VVFIN;3
sterben;VVINF;3
Steuer;NN;3
sticht;VVFIN;3
stieß;VVFIN;3
Stillleben;NN;3
Stolz;NN;3
stolze;ADJA;3
stören;VVFIN;3
stört;VVFIN;3
Störung;NN;3
Strahlen;NN;3
Strauß;NE;3
streckt;VVFIN;3
streckte;VVFIN;3
streiche;VVFIN;3
Streichholz;NN;3
Streichhölzer;NN;3
streng;ADJD;3
Strom;NN;3
Stück;NN;3
Stücke;NN;3
Studium;NN;3
stumm;ADJD;3
stundenlang;ADJD;3
stürmen;VVFIN;3
Stürmer;NN;3
stürmt;VVFIN;3
Stute;NN;3
stützte;VVFIN;3
stützten;VVFIN;3
Suche;NN;3
sucht;VVFIN;3
suchte;VVFIN;3
Suljo;NE;3
süßen;ADJA;3
sympathisch;ADJD;3
Szabolcs;NE;3
T-Shirt;NN;3
täglich;ADJD;3
Taille;NN;3
Takt;NN;3
Tanne;NN;3
tanzen;VVINF;3
Tarnfarben;NN;3
Tasten;NN;3
Tau;NN;3
Teletext;NN;3
Tetris;NE;3
theoretisch;ADJD;3
Tischdecke;NN;3
Tönen;NN;3
Toraschrein;NN;3
trägst;VVFIN;3
Trainingsanzug;NN;3
traurigen;ADJA;3
treffe;VVFIN;3
Treffer;NN;3
Treppenaufgang;NN;3
trotzig;ADJD;3
trugen;VVFIN;3
Tschetniks;NN;3
tue;VVFIN;3
Türken;NN;3
türkischen;ADJA;3
Tüten;NN;3
übel;ADJD;3
über;ADV;3
überlegt;VVFIN;3
überrascht;ADJD;3
umarmen;VVINF;3
umarmten;VVFIN;3
unangenehm;ADJD;3
unbedingt;ADJD;3
unendlich;ADJD;3
unmöglich;ADJD;3
Unterarm;NN;3
unterhielt;VVFIN;3
unterhielten;VVFIN;3
Unterhose;NN;3
Unterricht;NN;3
unterscheiden;VVINF;3
Unterschied;NN;3
Unterwegs;ADV;3
USA;NE;3
Vajont;NE;3
Varda;NE;3
verbeuge;VVFIN;3
verboten;VVPP;3
verbrachte;VVFIN;3
verdient;VVPP;3
verfehlte;VVFIN;3
Vergangenheit;NN;3
Vergessen;NN;3
verheiratet;VVPP;3
verkaufte;VVFIN;3
verliere;VVFIN;3
verrät;VVFIN;3
verraten;VVINF;3
verschlafen;VVPP;3
Verschwinden;NN;3
verstecke;VVFIN;3
versteckt;VVPP;3
verstehen;VVINF;3
verstohlen;ADJD;3
Versuch;NN;3
verträumt;ADJD;3
verwandt;VVPP;3
Verwandten;NN;3
verzog;VVFIN;3
Vieh;NN;3
Viele;PIS;3
vierte;ADJA;3
Višegrader;ADJA;3
Višegradern;NN;3
Visum;NN;3
völlig;ADJD;3
vorher;ADV;3
Vornamen;NN;3
Vukojebina;NE;3
Wachen;NN;3
Wahnsinniger;NN;3
während;APPR;3
Wahrscheinlich;ADJD;3
Walross’;NN;3
wandte;VVFIN;3
warfen;VVFIN;3
warm;ADJD;3
Warten;NN;3
Wäscherei;NN;3
wehe;VVFIN;3
wehrt;VVFIN;3
weißer;ADJA;3
weiteren;ADJA;3
welchem;PWAT;3
Welches;PWAT;3
Wellen;NN;3
Welpen;NN;3
Welse;NN;3
Weltmusik;NN;3
wen;PWS;3
wenig;ADV;3
wenige;PIS;3
wert;ADJD;3
wetten;VVINF;3
wich;VVFIN;3
wiederholt;VVFIN;3
wilden;ADJA;3
Wirklichkeit;NN;3
Wise;FM;3
wohin;ADV;3
Worten;NN;3
wozu;PWAV;3
Wunder;NN;3
wunderte;VVFIN;3
wusch;VVFIN;3
wüsste;VVFIN;3
Zahid;NE;3
Zahl;NN;3
zählte;VVFIN;3
Zähnen;NN;3
zärtlich;ADJD;3
Zeichen;NN;3
zeichnete;VVFIN;3
Zeitungen;NN;3
zerreißt;VVFIN;3
zerrt;VVFIN;3
zersplittert;VVPP;3
zielte;VVFIN;3
Zigeuner;NN;3
zischt;VVFIN;3
zittert;VVFIN;3
zitterte;VVFIN;3
Zoffs;NN;3
zögerte;VVFIN;3
Zöpfe;NN;3
Zu;PTKA;3
zuckte;VVFIN;3
zueinander;ADV;3
zufällig;ADJD;3
Züge;NN;3
Zügeln;NN;3
zugleich;ADV;3
zupfte;VVFIN;3
Zur;APPRART;3
Zurück;ADV;3
zurückkam;VVFIN;3
zuvor;ADV;3
Zwei-eins;NN;3
Zweige;NN;3
–;XY;2
/;$(;2
:;$(;2
’;CARD;2
«;XY;2
»;XY;2
1,53;CARD;2
15.05;CARD;2
1993;CARD;2
23:23;CARD;2
2349;CARD;2
4.;ADJA;2
8.;ADJA;2
9,86;CARD;2
9.;ADJA;2
92;CARD;2
a;NE;2
ab;TRUNC;2
Ab;APPR;2
Abende;NN;2
ABER;KON;2
abgab;VVFIN;2
abgehängt;VVPP;2
abgeholt;VVPP;2
abgelegt;VVPP;2
abgerissen;VVPP;2
abgestiegen;VVPP;2
abgezogen;VVPP;2
abheben;VVINF;2
abknallen;VVINF;2
ablenken;VVINF;2
Abmachung;NN;2
Abreise;NN;2
Abschiedsbrief;NN;2
Abseits;NN;2
Absicht;NN;2
absolutes;ADJA;2
abwehrend;ADJD;2
achte;VVFIN;2
achtundvierzig;VVPP;2
achtzig;CARD;2
Äderchen;NN;2
Adler;NE;2
Adler;NN;2
Admiralsuniform;NN;2
Adresse;NN;2
Adressen;NN;2
Agent;NN;2
Aggregat;NN;2
Aggressor;NN;2
Aggressoren;NN;2
aleksandar;NE;2
Alekßandar;NE;2
Ali;NE;2
All;PIAT;2
Als;KOKOM;2
Alte;ADJA;2
Alte;NN;2
Amela-a;NE;2
Amerika;NE;2
amerikanische;ADJA;2
amerikanischen;ADJA;2
Ämter;NN;2
anderer;PIS;2
ändern;VVINF;2
Andrićs;NE;2
Anfang;NN;2
anfangen;VVINF;2
anfassen;VVFIN;2
Anführer;NN;2
angegriffen;VVPP;2
angehalten;VVPP;2
Angelegenheit;NN;2
Angelkasten;NN;2
Angelschein;NN;2
angewurzelt;VVPP;2
anhaben;VVINF;2
anschließend;ADJD;2
Anschließend;ADJD;2
anschrie;VVFIN;2
anständig;ADJD;2
anstatt;KOUI;2
Antenne;NN;2
anzubinden;VVIZU;2
anzuzünden;VVIZU;2
Äpfel;NN;2
Apfelsaft;NN;2
Arbeitsheft;NN;2
are;FM;2
Ärger;NN;2
Armbeuge;NN;2
armen;ADJA;2
Asche;NN;2
Asiya;NE;2
asphaltierte;ADJA;2
Äste;NN;2
Ästen;NN;2
atme;VVFIN;2
atmet;VVFIN;2
atmete;VVFIN;2
auf-;TRUNC;2
aufeinander;ADV;2
Aufgabe;NN;2
aufgedreht;VVPP;2
aufgefallen;VVPP;2
aufgehalten;VVPP;2
aufgehört;VVPP;2
aufgesetzt;VVPP;2
aufgestanden;VVPP;2
aufgestellt;VVPP;2
aufgewacht;VVPP;2
aufgeweichte;ADJA;2
aufm;APPRART;2
aufmerksam;ADJD;2
aufräumen;VVINF;2
Aufregung;NN;2
Aufsätze;NN;2
Aufschrei;NN;2
Aufstehen;NN;2
Auftrag;NN;2
auftreten;VVINF;2
Aufwachen;NN;2
aufzugeben;VVIZU;2
Augenblick;NN;2
Augenlider;NN;2
Augenwinkel;NN;2
August;NN;2
ausbeulen;VVFIN;2
ausgebreitet;VVPP;2
ausgehalten;VVPP;2
ausgehen;VVINF;2
ausgeliehen;VVPP;2
ausgemistet;VVPP;2
ausgestiegen;VVPP;2
ausholte;VVFIN;2
aussehen;VVFIN;2
Aussehen;NN;2
außen;ADV;2
Außerdem;PROAV;2
äußersten;ADJA;2
auswaschen;VVINF;2
ausweichen;VVINF;2
Avram;NE;2
B.;NN;2
Bach;NE;2
backt;VVFIN;2
Bahnhof;NN;2
Baklawa;NN;2
Bald;ADV;2
Bälger;NN;2
Bälle;NN;2
Balles;NN;2
Bande;NN;2
barfuß;ADV;2
Bärte;NN;2
Bass;NN;2
bauen;VVFIN;2
Bauer;NN;2
baute;VVFIN;2
Bayern;NE;2
BdKJ;NE;2
beachtete;VVFIN;2
bebender;ADJA;2
beeindrucken;VVINF;2
beerdigte;VVFIN;2
befahl;VVFIN;2
Befehle;NN;2
Befehlshabende;NN;2
befreit;VVPP;2
Befreiung;NN;2
befreundeter;ADJA;2
begegnete;VVFIN;2
Beginn;NN;2
begleitet;VVPP;2
Begleitung;NN;2
Begonien;NN;2
begraben;VVPP;2
begrüße;VVFIN;2
begrüßen;VVFIN;2
begrüßen;VVINF;2
begrüßt;VVPP;2
behaarten;ADJA;2
behalten;VVINF;2
behalten;VVPP;2
behauptete;VVFIN;2
beherrschen;VVINF;2
behielt;VVFIN;2
beigebracht;VVPP;2
beißen;VVFIN;2
beißt;VVFIN;2
bekommst;VVFIN;2
bekreuzigte;VVFIN;2
beladen;VVPP;2
Belagerung;NN;2
belegt;VVFIN;2
beleidigte;ADJA;2
Beleidigungen;NN;2
Belgrader;ADJA;2
Bellen;NN;2
bemerkt;VVPP;2
bemerkte;VVFIN;2
bereit;ADJD;2
bereits;ADV;2
Bergmann;NE;2
Beruf;NN;2
berühren;VVFIN;2
berührt;VVPP;2
berührten;VVFIN;2
besah;VVFIN;2
beschimpfen;VVINF;2
beschließt;VVFIN;2
beschreiben;VVFIN;2
beschrieb;VVFIN;2
beschrieben;VVPP;2
besitzen;VVINF;2
Besitzer;NN;2
Besteck;NN;2
Besuch;NN;2
besuche;VVFIN;2
betoniert;VVPP;2
betrat;VVFIN;2
betrete;VVFIN;2
betrügen;VVINF;2
Bettlaken;NN;2
Bettwäsche;NN;2
bewachsen;VVPP;2
bewaffnet;ADJD;2
bewegen;VVINF;2
bewegte;VVFIN;2
beweisen;VVINF;2
bez;FM;2
beziehungsweise;KON;2
Bibliothek;NN;2
Bibliothekskeller;NN;2
bilden;VVINF;2
Bildern;NN;2
bindet;VVFIN;2
Bingo;NN;2
Biografie;NN;2
Birke;NN;2
Birken;NN;2
Birnenschnäpse;NN;2
Bleistift;NN;2
Blicke;NN;2
Blickes;NN;2
blickte;VVFIN;2
blind;ADJD;2
blöden;ADJA;2
blonden;ADJA;2
blühten;VVFIN;2
Blümchenkleid;NN;2
blutende;ADJA;2
Boća;NE;2
bog;VVFIN;2
Bolero;NN;2
Böschung;NN;2
bosniakischen;ADJA;2
Bosnier;NN;2
bosnische;ADJA;2
Boxer;NN;2
brachen;VVFIN;2
Brasilien;NE;2
bräuchte;VVFIN;2
bräunlichen;ADJA;2
braust;VVFIN;2
brechen;VVFIN;2
breitete;VVFIN;2
Brennnesseln;NN;2
Bretagne;NE;2
BRIEF;NN;2
Brotbäckerin;NN;2
Brotkasten;NN;2
Brotscheibe;NN;2
Brotteig;NN;2
Bruce;NE;2
Brüder;NN;2
Brüderlichkeit;NN;2
Bruders;NN;2
Bucht;NN;2
Bühne;NN;2
bunten;ADJA;2
bunter;ADJA;2
Bürgerkriegs;NN;2
Bürgermeister;NN;2
Büro;NN;2
Busfahrer;NN;2
C-64;NE;2
Café;NN;2
Cafés;NN;2
Chefgenossen;NN;2
Chor;NN;2
ciao;FM;2
Cicero;NE;2
Čika;NN;2
Computer;NN;2
Couch;NN;2
Cousins;NN;2
dabei;PTKVZ;2
Dachziegel;NN;2
daher;PROAV;2
dahinter;PROAV;2
Dame;NN;2
Damm;NN;2
Dämmerung;NN;2
Danke;NN;2
daraufhin;PROAV;2
daraus;PROAV;2
Dasistdochdiehöhe;NN;2
dasselbe;PIS;2
dauert;VVFIN;2
davon;PTKVZ;2
Dayton;NE;2
Dazu;PROAV;2
deckt;VVFIN;2
deckte;VVFIN;2
deines;PPOSAT;2
DEN;ART;2
denk;VVIMP;2
Denken;NN;2
denkt;VVFIN;2
Deswegen;PROAV;2
deutlich;ADJD;2
di;FM;2
Diabetes;NN;2
Dickicht;NN;2
dies;PDS;2
dieselbe;PDAT;2
diesmal;ADV;2
Diesmal;ADV;2
Dilettantensänger;NN;2
dina;NE;2
Dinar;NN;2
Dinosaurier;NN;2
dir;PRF;2
Diskussionen;NN;2
doch;KON;2
Domino;NN;2
Donau;NE;2
Donnerstag;NN;2
donnerte;VVFIN;2
Dörfer;NN;2
Dörfern;NN;2
Dose;NN;2
Drachenmaul;NN;2
Dragica;NE;2
Dragoslav;NE;2
drängten;VVFIN;2
Drau;NE;2
drauf;PROAV;2
Dražen;NE;2
dreckig;ADJD;2
Drecksack;NN;2
drehten;VVFIN;2
dreihundert;CARD;2
Dreimal;ADV;2
dreist;ADJD;2
dreister;ADJA;2
dreiundvierzig;CARD;2
dreiundzwanzig;CARD;2
dreizehn;CARD;2
drin;ADV;2
Drinas;NE;2
dringen;VVFIN;2
Drohungen;NN;2
drosch;VVFIN;2
Duft;NN;2
dunkelhaarige;ADJA;2
Dunkelrot;NN;2
dunkle;ADJA;2
dünne;ADJA;2
durchdreht;VVFIN;2
durchqueren;VVFIN;2
durchs;APPRART;2
durchschütteln;VVINF;2
dürft;VMFIN;2
durften;VMFIN;2
dürren;ADJA;2
düsteren;ADJA;2
e;NE;2
è;NE;2
E.;NE;2
echten;ADJA;2
ehemalige;ADJA;2
ehemaligen;ADJA;2
Ehrlich;ADJD;2
ehrlichen;ADJA;2
Eigentlich;ADV;2
Eigentum;NN;2
einander;PTKVZ;2
eindringlich;ADJD;2
Eines;ART;2
einfaches;ADJA;2
Eingang;NN;2
eingeritzt;VVPP;2
eingeschlafen;VVPP;2
eingeschlagen;VVPP;2
eingeweiht;VVPP;2
Einige;PIAT;2
einigen;PIAT;2
Einohrige;NN;2
einquartieren;VVINF;2
Eins;CARD;2
Eins-null;NN;2
einsam;ADJD;2
einsamsten;ADJA;2
Einschläge;NN;2
einschlief;VVFIN;2
Eintopf;NN;2
Eintritt;NN;2
einunddreißig;CARD;2
einundfünfzig;CARD;2
einundzwanzig;CARD;2
einzeln;ADJD;2
einzelne;ADJA;2
einzelnen;ADJA;2
einzelner;ADJA;2
einzig;ADJD;2
Eisenschädel;NN;2
eitle;ADJA;2
Elend;NN;2
Ellenbogen;NN;2
Elvira;NE;2
empörte;VVFIN;2
endgültig;ADJD;2
Endhaltestellen;NN;2
enge;ADJA;2
Englisch;NN;2
Enkelsohn;NN;2
entdeckte;VVFIN;2
entfernt;ADJD;2
Entfernung;NN;2
enthusiastischen;ADJA;2
entkommen;VVPP;2
entlang;PTKVZ;2
entlocken;VVINF;2
entschlossen;VVPP;2
entschuldige;VVFIN;2
entschuldigen;VVINF;2
Entschuldigen;VVFIN;2
entschuldigend;ADJD;2
entschuldigte;VVFIN;2
Entschuldigung;NN;2
enttäuschen;VVINF;2
enttäuscht;ADJD;2
Erbsenbrühe;NN;2
erfinden;VVINF;2
Erfindung;NN;2
erfüllen;VVINF;2
ergänzte;VVFIN;2
Ergebnis;NN;2
ergriff;VVFIN;2
erheben;VVFIN;2
erhebt;VVFIN;2
erhobenem;ADJA;2
erkannte;VVFIN;2
erlaubt;VVPP;2
erlischt;VVFIN;2
erneut;ADJD;2
Ernst;NN;2
Erntefest;NN;2
erregend;ADJD;2
erreicht;VVPP;2
erschießt;VVFIN;2
erschöpft;ADJD;2
erschrecke;VVFIN;2
erschrocken;ADJD;2
erschütternd;ADJD;2
erstarrte;VVFIN;2
erteilt;VVPP;2
ertrunken;VVPP;2
erwidern;VVINF;2
erwiderte;VVFIN;2
erwischt;VVFIN;2
erzählst;VVFIN;2
Erzählung;NN;2
Erziehung;NN;2
ES;PPER;2
euch;PRF;2
euer;PPOSAT;2
Fabrik;NN;2
Faden;NN;2
fährst;VVFIN;2
Fallen;NN;2
Falls;KOUS;2
falschen;ADJA;2
Familienmitglieder;NN;2
fange;VVFIN;2
Farbbezeichnung;NN;2
fasst;VVFIN;2
fasste;VVFIN;2
faucht;VVFIN;2
fegt;VVFIN;2
Fehler;NN;2
fehlst;VVFIN;2
feierlich;ADJD;2
feierlicher;ADJA;2
feiern;VVINF;2
Feinde;NN;2
feine;ADJA;2
Feld;NN;2
Feldern;NN;2
Feldes;NN;2
Felgen;NN;2
Fensterbrett;NN;2
Ferien;NN;2
fern;ADJD;2
Fernsehmoderators;NN;2
Festen;NN;2
fester;ADJA;2
festzuhalten;VVIZU;2
feuchtem;ADJA;2
feuchter;ADJA;2
feuerte;VVFIN;2
Feuerwehrstation;NN;2
Fizo;NN;2
flach;ADJD;2
flache;ADJA;2
flachsblonde;ADJA;2
Flachsblonde;NN;2
Fladenbrot;NN;2
Flaggen;NN;2
Flaschen;NN;2
fleht;VVFIN;2
flennen;VVINF;2
fliegen;VVFIN;2
fliehen;VVINF;2
fließen;VVFIN;2
flimmern;VVFIN;2
Florida;NE;2
fluchen;VVFIN;2
fluchen;VVINF;2
fluchend;ADJD;2
Flügel;NN;2
flussabwärts;ADV;2
flüsternden;ADJA;2
Fluten;NN;2
folgen;VVFIN;2
folgt;VVFIN;2
folgten;VVFIN;2
formte;VVFIN;2
Fotoalben;NN;2
Fotoalbum;NN;2
fotografiert;VVFIN;2
Französisch;NN;2
französische;ADJA;2
französischem;ADJA;2
Frauenstimme;NN;2
freien;ADJA;2
Freitag;NN;2
Freundin;NN;2
Friedensstifterin;NN;2
Frisör;NN;2
Frisur;NN;2
fröhliche;ADJA;2
Früchte;NN;2
frühen;ADJA;2
fügte;VVFIN;2
fühlte;VVFIN;2
füllt;VVFIN;2
füllten;VVFIN;2
fünfte;ADJA;2
fünfunddreißig;CARD;2
fünfundfünfzig;CARD;2
fünfzigsten;ADJA;2
funktionieren;VVINF;2
funktioniert;VVFIN;2
Fußballer;NN;2
Fußballspiel;NN;2
Fußnote;NN;2
Fußspitze;NN;2
Fußspuren;NN;2
Futter;NN;2
füttern;VVINF;2
fütterten;VVFIN;2
Gabel;NN;2
Galopp;NN;2
Ganze;ADJA;2
Garagentor;NN;2
Gasflasche;NN;2
Gaspedal;NN;2
Gastgeber;NN;2
Gavrilović;NE;2
geahnt;VVPP;2
gebannt;ADJD;2
gebastelt;VVPP;2
Gebote;NN;2
gebrochene;ADJA;2
gebrochenen;ADJA;2
Gebrüll;NN;2
Gedächtnis;NN;2
gedankenverloren;ADJD;2
gedemütigt;VVPP;2
Gedichte;NN;2
geduckt;ADJD;2
geduscht;VVPP;2
gefälligst;ADV;2
gefangen;VVPP;2
Gefangene;NN;2
Gefängnis;NN;2
Gefecht;NN;2
gefeiert;VVPP;2
Gefieder;NN;2
geflochtenen;ADJA;2
geflogen;VVPP;2
geführt;VVPP;2
gefürchtete;ADJA;2
Gegenspieler;NN;2
Gegenständen;NN;2
Gegner;NN;2
gegrillt;VVPP;2
geh;XY;2
gehäkelten;ADJA;2
Gehirn;NN;2
gehoben;VVPP;2
geholfen;VVPP;2
gehören;VVFIN;2
Gehrock;NN;2
Geht;VVFIN;2
Geigerin;NN;2
gekämpft;VVPP;2
gekauft;VVPP;2
gekochten;ADJA;2
gekritzelt;VVPP;2
gekrümmten;ADJA;2
Gelächter;NN;2
gelandet;VVPP;2
gelangte;VVFIN;2
gelaufen;VVPP;2
Gelb;NN;2
gelegentlich;ADJD;2
geliebt;VVPP;2
gemeinsam;ADJD;2
gemeinsamen;ADJA;2
gemeldet;VVPP;2
gemietet;VVPP;2
gemocht;VMFIN;2
gen;APPR;2
genäht;VVPP;2
Genuss;NN;2
genüsslich;ADJD;2
geöffnet;VVPP;2
gepfiffen;VVPP;2
gepflückt;VVPP;2
geplant;VVPP;2
gepresst;VVPP;2
Gerade;ADV;2
geräucherten;ADJA;2
gerissen;VVPP;2
gerochen;VVPP;2
gerötet;VVPP;2
Geruch;NN;2
gesalzene;ADJA;2
geschämt;VVPP;2
geschehen;VVINF;2
Geschenke;NN;2
Geschichtsbuch;NN;2
geschieden;VVPP;2
Geschirr;NN;2
Geschirrtuch;NN;2
geschlagen;VVPP;2
geschlossenen;ADJA;2
Geschmack;NN;2
geschnitten;VVPP;2
geschnürten;ADJA;2
geschoben;VVPP;2
gesessen;VVPP;2
gesetzt;VVPP;2
gespart;VVPP;2
gespendet;VVPP;2
Gespräch;NN;2
Gespräche;NN;2
gespritzt;VVPP;2
Gestank;NN;2
Geste;NN;2
gestoßen;VVPP;2
gestreckt;VVPP;2
gestrichen;VVPP;2
gestritten;VVPP;2
gesund;ADJD;2
getrennt;VVPP;2
getreten;VVPP;2
gewählten;ADJA;2
Gewalt;NN;2
Gewässer;NN;2
Gewehrsalve;NN;2
gewisser;ADJA;2
gewöhnen;VVINF;2
gewordene;ADJA;2
gezählt;VVPP;2
gibst;VVFIN;2
gibts;ADV;2
Ging;VVFIN;2
glänzen;VVFIN;2
glänzt;VVFIN;2
glänzte;VVFIN;2
glasigen;ADJA;2
Glassplitter;NN;2
Glatze;NN;2
Glaube;NN;2
gleiche;ADJA;2
Glühbirne;NN;2
Glühbirnen;NN;2
Gobelins;NN;2
Goldmedaille;NN;2
Gorki;NE;2
Gottesmutter;NN;2
Gräsern;NN;2
Grashüpfer;NN;2
grausamen;ADJA;2
Grenze;NN;2
Griebenschmalz;NN;2
griffen;VVFIN;2
Grissgott;NE;2
großem;ADJA;2
größeren;ADJA;2
Großväter;NN;2
grotesk;ADJD;2
Grübchen;NN;2
Gründen;NN;2
Grünpflanzen;NN;2
Gruppe;NN;2
Gruß;NN;2
grüße;VVFIN;2
grüßten;VVFIN;2
gt;XY;2
Guck;VVIMP;2
Gurkensalat;NN;2
Gürtel;NN;2
gut;ADV;2
Gymnasium;NN;2
Haaaallo;NE;2
hab;ADV;2
hab;VAFIN;2
Haben;VAFIN;2
Hackfleischmantel;NN;2
Hackfleischpflaumen;NN;2
Hagel;NN;2
halber;ADJA;2
Halbmond;NN;2
half;VVFIN;2
Hall;NN;2
Hältst;VVFIN;2
Handgelenk;NN;2
Handgranate;NN;2
Handschellen;NN;2
Handschlag;NN;2
Handschrift;NN;2
Handschuhe;NN;2
Handschuhen;NN;2
hängen;VVFIN;2
hängenden;ADJA;2
Härchen;NN;2
hassen;VVINF;2
hässliche;ADJA;2
häufiger;ADJD;2
Häusern;NN;2
hechtete;VVFIN;2
heiratet;VVFIN;2
heiser;ADJD;2
heißen;VVFIN;2
hektisch;ADJD;2
hellem;ADJA;2
helles;ADJA;2
Helme;NN;2
Henkel;NE;2
her;APZR;2
herab;PTKVZ;2
herausfordernden;ADJA;2
herauskam;VVFIN;2
herhalten;VVINF;2
herrlich;ADJD;2
herrscht;VVFIN;2
herumwuselnden;ADJA;2
hetzt;VVFIN;2
heutigen;ADJA;2
hierzulande;ADV;2
High;FM;2
hinaus;APZR;2
hinaus;PTKVZ;2
Hinausgehen;NN;2
hinausgeht;VVFIN;2
hingen;VVFIN;2
hinsehen;VVINF;2
Hinten;ADV;2
hinterlassen;VVPP;2
hinterließen;VVFIN;2
hinunter;PTKVZ;2
hinweg;APZR;2
Historiker;NN;2
Hm;ITJ;2
Hochzeit;NN;2
Höcker;NN;2
hockten;VVFIN;2
Hof;NE;2
Höfen;NN;2
hoffen;VVINF;2
Hoffnung;NN;2
höflich;ADJD;2
hohe;ADJA;2
höher;ADJD;2
hohl;ADJD;2
Hohlköpfe;NN;2
Hollywood;NE;2
Hotelier;NN;2
Hühnchen;NN;2
Hühnern;NN;2
Hunden;NN;2
hundertdreißig;CARD;2
hundertelf;CARD;2
hundertzweiundneunzig;CARD;2
hungrig;ADJD;2
hupte;VVFIN;2
hupten;VVFIN;2
Husein;NE;2
Hyazinthe;NN;2
i;FM;2
Ibrahims;NE;2
Ideologiewechsel;NN;2
Indianer;NN;2
Ingenieur;NN;2
inne;PTKVZ;2
Insulin;NN;2
Internationale;NN;2
inzwischen;ADV;2
irgendwie;ADV;2
Irgendwo;ADV;2
irrt;VVFIN;2
Italien;NE;2
italienisch;ADJD;2
italienischen;ADJA;2
Jackenkragen;NN;2
Jacques;NE;2
Januar;NN;2
Japan;NE;2
jaulen;VVFIN;2
Jelenić;NE;2
jenes;PDS;2
Joghurt;NN;2
Jugos;NN;2
Jugoslawe;NN;2
Jungchen;NN;2
Jupiter;NE;2
Jurij;NE;2
kackte;VVFIN;2
Kaffeetassen;NN;2
Kalaschnikow;NN;2
kalter;ADJA;2
kaltes;ADJA;2
Kamenkos;NN;2
kämpfen;VVFIN;2
kannten;VVFIN;2
Karosserie;NN;2
Karrenwege;NN;2
karrten;VVFIN;2
Kartoffel-Aziz;NN;2
Kassiererin;NN;2
Kassiererinnen;NN;2
Kasten;NN;2
kaufen;VVFIN;2
Kaugummi;NN;2
kaut;VVFIN;2
Kautabak;NN;2
kaute;VVFIN;2
keinem;PIS;2
keines;PIS;2
Kennen;VVFIN;2
kennst;VVFIN;2
Kerzenlicht;NN;2
Kette;NN;2
kicken;VVFIN;2
Kindern;NN;2
Kindheitsfreundin;NN;2
Kiosk;NN;2
Kippe;NN;2
kippte;VVFIN;2
Kirschen;NN;2
kiss;VVFIN;2
kitschig;ADJD;2
Klagen;NN;2
klammert;VVFIN;2
klangen;VVFIN;2
Klassenbuch;NN;2
Klassenzimmer;NN;2
Klassenzimmern;NN;2
klatschten;VVFIN;2
Kleber;NN;2
Kleiderschrank;NN;2
Kleine;ADJA;2
klemmte;VVFIN;2
klicke;ADV;2
klicke;VVFIN;2
klimpert;VVFIN;2
Klingel;NN;2
Klingelschild;NN;2
klingle;VVFIN;2
klopfe;VVFIN;2
klugen;ADJA;2
klügste;ADJA;2
knacken;VVINF;2
Knacken;NN;2
knackt;VVFIN;2
Knick;NN;2
kniete;VVFIN;2
knirschen;VVINF;2
Knöcheln;NE;2
knöcheltief;ADJD;2
knöpfte;VVFIN;2
kochte;VVFIN;2
Koffern;NN;2
Kollegen;NN;2
komischen;ADJA;2
Komm;ITJ;2
Kommandant;NN;2
komplett;ADJD;2
konform;ADJD;2
konkrete;ADJA;2
könntest;VMFIN;2
Konserve;NN;2
konzentriert;VVFIN;2
Kopfballungeheuer;NN;2
Köpfen;NN;2
Kopfende;NN;2
kopflose;ADJA;2
Kopfnicken;NN;2
köpfte;VVFIN;2
korrigiert;VVFIN;2
Kosovo;NE;2
kracht;VVFIN;2
kräftig;ADJD;2
Kraljević;NE;2
kratze;VVFIN;2
kräuselnden;ADJA;2
Krawatten;NN;2
Kreatur;NN;2
kreuz;ADV;2
Kreuz;NN;2
Kreuzung;NN;2
Kreuzworträtsel;NN;2
Kreuzworträtseln;NN;2
krieg;NN;2
Kriege;NN;2
kriegen;VVFIN;2
Kryptonit;NN;2
Küchenschürze;NN;2
Kügelchen;NN;2
Kühen;NN;2
kühl;ADJD;2
kühlen;ADJA;2
kündigte;VVFIN;2
Kunst;NN;2
Künstlerbedarf;NN;2
Künstlerin;NN;2
Künstlerkolonie;NN;2
kurbele;VVFIN;2
Kürbiskerne;NN;2
kurvigen;ADJA;2
kurze;ADJA;2
kurzer;ADJA;2
küsse;VVFIN;2
kvatromila;ADJA;2
la;NE;2
lackiert;VVPP;2
Lagerfeuer;NN;2
Lagune;NN;2
Lammkeule;NN;2
Landschaft;NN;2
Landwein;NN;2
Länge;NN;2
langer;ADJA;2
langhaarigen;ADJA;2
längste;ADJA;2
Lärm;NN;2
lassen;VVFIN;2
Laster;NN;2
Latein;NN;2
Laterne;NN;2
Lauch;NN;2
Laufen;NN;2
lauscht;VVFIN;2
lauschte;VVFIN;2
laute;ADJA;2
Laute;NN;2
lauter;PIAT;2
